response_id,agreeableness_open_ended_4,conscientiousness_open_ended_4,extraversion_open_ended_4,neuroticism_open_ended_4,openness_open_ended_4
10430310916,0.01293973345309496,0.6996562480926514,0.014508587308228016,0.5290473103523254,0.15959157049655914
10430357581,0.6714743971824646,0.8175339698791504,0.06783222407102585,0.0387839749455452,0.7179024815559387
10430389322,0.01117403618991375,0.8516843914985657,0.5661786198616028,0.4334176480770111,0.9030832052230835
10432456337,0.8554798364639282,0.981056809425354,0.11462435126304626,0.14564137160778046,0.4593554437160492
10432470791,0.0960465520620346,0.9049817323684692,0.29347553849220276,0.09976956248283386,0.8229110240936279
10432504831,0.5824092030525208,0.9604910016059875,0.96266108751297,0.4506971538066864,0.9146877527236938
10432532568,0.0984550341963768,0.8069853186607361,0.12056868523359299,0.4507441520690918,0.3548356294631958
10432576231,0.030792487785220146,0.9160625338554382,0.38925090432167053,0.03115377388894558,0.5699428915977478
10433331323,0.0015943661564961076,0.5737265944480896,0.17308269441127777,0.9638089537620544,0.41266316175460815
10440096752,0.8615198135375977,0.9507636427879333,0.5642032623291016,0.025301583111286163,0.9222589731216431
10440096763,0.001763827633112669,0.33898067474365234,0.35338351130485535,0.7655429840087891,0.284258633852005
10440096794,0.18915173411369324,0.9337888956069946,0.2119368314743042,0.2228209525346756,0.3840625584125519
10440096837,0.29550281167030334,0.9712749123573303,0.40380895137786865,0.2338007688522339,0.8454136252403259
10440096876,0.00891901645809412,0.8707159757614136,0.3152801990509033,0.03869267925620079,0.4797396957874298
10440096954,0.027604641392827034,0.8657812476158142,0.44574132561683655,0.05537436529994011,0.8441657423973083
10440096988,0.000692626228556037,0.38619640469551086,0.41724079847335815,0.3704679012298584,0.8265462517738342
10440096998,0.5247769355773926,0.8846495747566223,0.42036762833595276,0.05841727554798126,0.9017446637153625
10440097008,0.045677732676267624,0.785580039024353,0.29296809434890747,0.39736801385879517,0.5839494466781616
10440097208,0.032802749425172806,0.9473257064819336,0.21849580109119415,0.4240274429321289,0.7718380689620972
10440097232,0.42869481444358826,0.8802456855773926,0.3815438449382782,0.1434493511915207,0.6422266960144043
10440097245,0.025949329137802124,0.34790536761283875,0.017629513517022133,0.17927372455596924,0.005318028852343559
10440097257,0.04179671034216881,0.937735915184021,0.4764882028102875,0.04559044539928436,0.8051696419715881
10440097317,0.11200074851512909,0.6917256712913513,0.481648713350296,0.661389946937561,0.6993269324302673
10440097325,0.2883787751197815,0.8507745862007141,0.4273683428764343,0.04243634268641472,0.8871454000473022
10440097338,0.020065847784280777,0.8625312447547913,0.1535751074552536,0.0704227164387703,0.6611364483833313
10440097342,0.2602492868900299,0.8935238122940063,0.5003643035888672,0.14042630791664124,0.6457470655441284
10440097360,0.004885680973529816,0.956272542476654,0.6954431533813477,0.17706181108951569,0.9006876349449158
10440097365,0.05084681510925293,0.8734809160232544,0.4273490905761719,0.6229439377784729,0.6073150634765625
10440097370,0.003972718957811594,0.6753014326095581,0.11857070028781891,0.28697746992111206,0.3395461142063141
10440097410,0.8520683646202087,0.9413647651672363,0.3333416283130646,0.026473138481378555,0.9163964986801147
